"name","abstract","authors","year","base","analysis","review"
"An Evaluation of Policy Frameworks for Addressing Ethical Considerations in Learning Analytics","Higher education institutions have collected and analysed student data for years, with their focus largely on reporting and management needs. A range of institutional policies exist which broadly set out the purposes for which data will be used and how data will be protected. The growing advent of learning analytics has seen the uses to which student data is put expanding rapidly. Generally though the policies setting out institutional use of student data have not kept pace with this change.

Institutional policy frameworks should provide not only an enabling environment for the optimal and ethical harvesting and use of data, but also clarify: who benefits and under what conditions, establish conditions for consent and the de-identification of data, and address issues of vulnerability and harm. A directed content analysis of the policy frameworks of two large distance education institutions shows that current policy frameworks do not facilitate the provision of an enabling environment for learning analytics to fulfil its promise.","Prinsloo, Paul and Slade, Sharon",2013,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"DeepSim: Deep Learning Code Functional Similarity","Measuring code similarity is fundamental for many software engineering tasks, e.g., code search, refactoring and reuse. However, most existing techniques focus on code syntactical similarity only, while measuring code functional similarity remains a challenging problem. In this paper, we propose a novel approach that encodes code control flow and data flow into a semantic matrix in which each element is a high dimensional sparse binary feature vector, and we design a new deep learning model that measures code functional similarity based on this representation. By concatenating hidden representations learned from a code pair, this new model transforms the problem of detecting functionally similar code to binary classification, which can effectively learn patterns between functionally similar code with very different syntactics.

We have implemented our approach, DeepSim, for Java programs and evaluated its recall, precision and time performance on two large datasets of functionally similar code. The experimental results show that DeepSim significantly outperforms existing state-of-the-art techniques, such as DECKARD, RtvNN, CDLH, and two baseline deep neural networks models.","Zhao, Gang and Huang, Jeff",2018,"[""ACM""]","Rejeitado: CR12","Rejeitado: CR12"
"Coarse Grain Parallelization of Deep Neural Networks",,"Tallada, Marc Gonzalez",2016,"[""ACM"",""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR0"
"Learning compact hashing codes for efficient tag completion and prediction",,"Wang, Qifan and Ruan, Lingyun and Zhang, Zhiwei and Si, Luo",2013,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"A High-level Framework for Parallelizing Legacy Applications for Multiple Platforms",,"Arora, Ritu and Capetillo, Ejenio and Bangalore, Purushotham and Mernik, Marjan",2013,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Project Centralization Based on Graph Coloring",,"Ma, Lei and Artho, Cyrille and Sato, Hiroyuki",2014,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Safely Managing Data Variety in Big Data Software Development",,"Cerqueus, Thomas and de Almeida, Eduardo Cunha and Scherzinger, Stefanie",2015,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Learning Agile Software Engineering Practices Using Coding Dojo",,"Heinonen, Kenny and Hirvikoski, Kasper and Luukkainen, Matti and Vihavainen, Arto",2013,"[""ACM""]","Rejeitado: CR9","Rejeitado: CR0"
"Refining Interprocedural Change-impact Analysis Using Equivalence Relations","Change-impact analysis (CIA) is the task of determining the set of program elements impacted by a program change. Precise CIA has great potential to avoid expensive testing and code reviews for (parts of) changes that are refactorings (semantics-preserving). However most statement-level CIA techniques suffer from imprecision as they do not incorporate the semantics of the change.

We formalize change impact in terms of the trace semantics of two program versions. We show how to leverage equivalence relations to make dataflow-based CIA aware of the change semantics, thereby improving precision in the presence of semantics-preserving changes. We propose an anytime algorithm that applies costly equivalence-relation inference incrementally to refine the set of impacted statements. We implemented a prototype and evaluated it on 322 real-world changes from open-source projects and benchmark programs used by prior research. The evaluation results show an average 35% improvement in the number of impacted statements compared to prior dataflow-based techniques.
We have implemented our approach, DeepSim, for Java programs and evaluated its recall, precision and time performance on two large datasets of functionally similar code. The experimental results show that DeepSim significantly outperforms existing state-of-the-art techniques, such as DECKARD, RtvNN, CDLH, and two baseline deep neural networks models.","Gyori, Alex and Lahiri, Shuvendu K. and Partush, Nimrod",2017,"[""ACM""]","Rejeitado: CR12","Rejeitado: CR12"
"The Learning Curves in Open-Source Software (OSS) Development Network",,"Kim, Youngsoo and Jiang, Lingxiao",2014,"[""ACM"",""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR0"
"Dynamically Adaptive Parsons Problems",,"Ericson, Barbara J.",2016,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR0"
"Ariadne: Analysis for Machine Learning Programs","The purpose of this paper is to analyze the effectiveness of an equity-oriented Makeathon designed to foster maker mindsets and maker identities in high school girls by engaging them with diverse tools, materials, mentorship, collaborative prototyping, and creative computing. The central theme of the University of British Columbia (UBC) Girls' Makeathon emphasized Tech for Change. Teams were challenged to make a mobile app related to an issue that teen girls face in local or global communities throughout the world. Participants learned how to identify a complex problem, design effective solutions, and change the world for the better by communicating their ideas (via apps and a pitch to a panel of experts). The results from the girls' design experiences, team presentations, surveys, and interviews show gains in their understandings of greening making and pro-social change making. Findings underscore the matter concerning how, why, and where do girls learn to become makers, coders, and inventors of media and technology (thereby overturning traditional gender and generational stereotypes)? The lessons learned in empowering girls to tackle inequality and create the futures they want to be part of will be useful for teachers and researchers who are interested in working with youth to design apps and innovative maker activities for environmental and sustainable education, research, and/or outreach.","Dolby, Julian and Shinnar, Avraham and Allain, Allison and Reinen, Jenna",2018,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"How to Study Programming on Mobile Touch Devices: Interactive Python Code Exercises",,"Ihantola, Petri and Helminen, Juha and Karavirta, Ville",2013,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR0"
"Iridescent: A Tool for Rapid Semantic Annotation of Web Service Descriptions",,"Stavropoulos, Thanos G. and Vrakas, Dimitris and Vlahavas, Ioannis",2013,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR0"
"Multi-layered Approach for Recovering Links Between Bug Reports and Fixes","The links between the bug reports in an issue-tracking system and the corresponding fixing changes in a version repository are not often recorded by developers. Such linking information is crucial for research in mining software repositories in measuring software defects and maintenance efforts. However, the state-of-the-art bug-to-fix link recovery approaches still rely much on textual matching between bug reports and commit/change logs and cannot handle well the cases where their contents are not textually similar.

This paper introduces MLink, a multi-layered approach that takes into account not only textual features but also source code features of the changed code corresponding to the commit logs. It is also capable of learning the association relations between the terms in bug reports and the names of entities/components in the changed source code of the commits from the established bug-to-fix links, and uses them for link recovery between the reports and commits that do not share much similar texts. Our empirical evaluation on real-world projects shows that MLink can improve the state-of-the-art bug-to-fix link recovery methods by 11--18%, 13--17%, and 8--17% in F-score, recall, and precision, respectively.","Nguyen, Anh Tuan and Nguyen, Tung Thanh and Nguyen, Hoan Anh and Nguyen, Tien N.",2012,"[""ACM"",""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR8, CR10"
"Techniques for Testing Scientific Programs Without an Oracle",,"Kanewala, Upulee and Bieman, James M.",2013,"[""ACM""]","Rejeitado: CR10","Rejeitado: CR0"
